,Team_home,Team_away,Game_id,Round,Minutes_home,Points_home,FieldGoalsMade2_home,FieldGoalsAttempted2_home,FieldGoalsMade3_home,FieldGoalsAttempted3_home,FreeThrowsMade_home,FreeThrowsAttempted_home,OffensiveRebounds_home,DefensiveRebounds_home,TotalRebounds_home,Assistances_home,Steals_home,Turnovers_home,BlocksFavour_home,BlocksAgainst_home,FoulsCommited_home,FoulsReceived_home,Valuation_home,Minutes_away,Points_away,FieldGoalsMade2_away,FieldGoalsAttempted2_away,FieldGoalsMade3_away,FieldGoalsAttempted3_away,FreeThrowsMade_away,FreeThrowsAttempted_away,OffensiveRebounds_away,DefensiveRebounds_away,TotalRebounds_away,Assistances_away,Steals_away,Turnovers_away,BlocksFavour_away,BlocksAgainst_away,FoulsCommited_away,FoulsReceived_away,Valuation_away
0,FRUTTI EXTRA BURSASPOR,7BET-LIETKABELIS PANEVEZYS,72,8,200:00,75,17,28,8,31,17,22,11,20,31,15,9,18,2,4,23,28,76,200:00,69,21,35,3,19,18,22,9,26,35,11,7,21,4,2,28,23,64
0,JOVENTUT BADALONA,UMANA REYER VENICE,73,8,200:00,90,22,40,11,27,13,14,11,19,30,20,9,11,0,0,18,18,103,200:00,87,22,34,11,24,10,12,6,24,30,14,6,14,0,0,18,18,96
0,PROMETEY SLOBOZHANSKE,U-BT CLUJ-NAPOCA,74,8,200:00,105,19,34,15,28,22,27,7,26,33,24,10,14,1,4,24,23,121,200:00,82,24,34,6,26,16,20,6,21,27,25,8,17,4,1,23,24,95
0,RATIOPHARM ULM,MINCIDELICE JL BOURG EN BRESSE,75,8,200:00,110,20,25,19,36,13,18,7,21,28,23,9,20,1,3,24,20,117,200:00,98,21,29,13,26,17,26,5,15,20,20,14,17,3,1,20,24,111
0,TURK TELEKOM ANKARA,LONDON LIONS,76,8,200:00,102,26,45,14,30,8,10,12,25,37,32,11,9,5,5,19,12,129,200:00,74,25,44,3,19,15,26,15,24,39,16,5,16,5,5,12,19,79
0,PARIS BASKETBALL,PROMITHEAS PATRAS,77,8,200:00,71,21,32,6,32,11,15,15,33,48,17,5,23,3,0,21,19,78,200:00,74,13,26,10,32,18,25,5,22,27,18,9,16,0,3,19,21,69
0,HAPOEL TEL AVIV,SLASK WROCLAW,78,8,200:00,103,30,43,10,18,13,21,8,27,35,33,11,17,2,1,21,22,138,200:00,73,22,40,5,24,14,19,12,16,28,17,8,17,1,2,22,20,64
0,DOLOMITI ENERGIA TRENTO,VEOLIA TOWERS HAMBURG,79,8,200:00,85,16,37,12,26,17,18,9,20,29,19,13,11,1,0,19,20,101,200:00,80,20,28,10,27,10,18,9,25,34,19,5,19,0,1,21,18,82
0,GRAN CANARIA,BUDUCNOST VOLI PODGORICA,80,8,225:00,79,22,36,7,33,14,20,12,26,38,17,4,12,3,1,27,24,79,225:00,71,19,37,5,20,18,28,7,29,36,11,8,15,1,3,24,27,69
0,MINCIDELICE JL BOURG EN BRESSE,CEDEVITA OLIMPIJA LJUBLJANA,81,9,200:00,90,23,40,9,28,17,22,13,22,35,16,5,8,3,1,19,24,104,200:00,91,23,43,10,24,15,20,13,25,38,19,3,9,1,3,25,19,95
